name of device,constant throughout,almost constant throughout,,,Ignore these,,,,,
name,bs_timestamp,rs_timestamp,seq_number,stored,accelx,accely,accelz,breathing_signal,breathing_rate,activity
F9:83:35:56:D1:CD,2.02E+13,-104,26,0,0.987793,0.016113,0.07666,-0.085244,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,27,0,0.984131,0.016357,0.081299,-0.071676,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,28,0,0.988525,0.022461,0.08667,-0.056907,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,29,0,0.98291,0.022217,0.085449,-0.042625,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,30,0,0.982666,0.026855,0.086426,-0.028316,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,31,0,0.982422,0.032959,0.095703,-0.013982,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,0,0,0.982422,0.026367,0.098877,-0.000818,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,1,0,0.98877,0.039062,0.111084,0.011759,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,2,0,0.980225,0.043945,0.115723,0.022175,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,3,0,0.988525,0.041504,0.119629,0.030306,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,4,0,0.982422,0.056152,0.129883,0.038475,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,5,0,0.982178,0.049072,0.131348,0.04346,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,6,0,0.981689,0.04541,0.13208,0.048563,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,7,0,0.980957,0.052979,0.144287,0.053317,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,8,0,0.982666,0.047852,0.144287,0.055944,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,9,0,0.980713,0.054932,0.1521,0.059258,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,10,0,0.97583,0.055908,0.156006,0.061808,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,11,0,0.980713,0.05835,0.159912,0.062718,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,12,0,0.979248,0.061768,0.166016,0.063888,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,13,0,0.973145,0.059326,0.166748,0.062958,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,14,0,0.972412,0.056152,0.167236,0.061606,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,15,0,0.978027,0.067139,0.174072,0.06116,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,16,0,0.977783,0.061035,0.175781,0.058411,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,17,0,0.97998,0.060303,0.175049,0.056625,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,18,0,0.973877,0.05957,0.180664,0.055724,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,19,0,0.977783,0.054932,0.186279,0.053299,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,20,0,0.965332,0.068359,0.196533,0.052786,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,21,0,0.968506,0.074219,0.203369,0.051337,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,22,0,0.973633,0.06665,0.203613,0.049298,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,23,0,0.97168,0.06543,0.204102,0.047401,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,24,0,0.973389,0.056641,0.204102,0.044292,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,25,0,0.963135,0.063721,0.210449,0.04304,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,26,0,0.971191,0.083252,0.217041,0.043302,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,27,0,0.97168,0.070312,0.219482,0.04209,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,28,0,0.963135,0.063232,0.222412,0.042081,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,29,0,0.963379,0.057373,0.233887,0.042792,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,30,0,0.974121,0.05127,0.212646,0.041049,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,31,0,0.972656,0.047607,0.233887,0.041229,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,0,0,0.956055,0.056641,0.198486,0.036851,0,0.37442
F9:83:35:56:D1:CD,2.02E+13,-104,1,0,0.974609,0.049561,0.213379,0.032819,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,2,0,0.971436,0.050781,0.196777,0.02831,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,3,0,0.974854,0.042725,0.192383,0.023602,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,4,0,0.968506,0.049072,0.185303,0.019524,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,5,0,0.971436,0.056152,0.199951,0.015385,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,6,0,0.969727,0.046631,0.19165,0.00843,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,7,0,0.967041,0.044189,0.184814,0.002006,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,8,0,0.974854,0.062012,0.188232,-0.0038,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,9,0,0.96875,0.046387,0.202148,-0.01041,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,10,0,0.970459,0.051758,0.197021,-0.013556,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,11,0,0.974121,0.05249,0.186035,-0.020024,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,12,0,0.971924,0.049561,0.191895,-0.020514,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,13,0,0.971924,0.050293,0.192871,-0.022031,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,14,0,0.970215,0.030762,0.190674,-0.022102,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,15,0,0.975342,0.051514,0.175049,-0.021688,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,16,0,0.973633,0.054443,0.185303,-0.020029,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,17,0,0.9729,0.049316,0.177979,-0.020822,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,18,0,0.975098,0.057617,0.179199,-0.018689,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,19,0,0.977051,0.06543,0.189209,-0.014712,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,20,0,0.970947,0.064697,0.188965,-0.012144,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,21,0,0.972168,0.073975,0.191895,-0.00968,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,22,0,0.968262,0.071045,0.19873,-0.00799,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,23,0,0.968994,0.073486,0.194092,-0.003611,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,24,0,0.972412,0.073975,0.202637,-0.001572,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,25,0,0.968506,0.073486,0.202637,0.001157,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,26,0,0.96875,0.076416,0.197021,0.003782,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,27,0,0.972656,0.071045,0.203613,0.007311,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,28,0,0.971191,0.075684,0.209961,0.009479,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,29,0,0.970703,0.077881,0.205322,0.013906,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,30,0,0.971436,0.077637,0.211426,0.017322,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,31,0,0.967529,0.073486,0.201416,0.017548,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,0,0,0.969971,0.075439,0.212646,0.019383,0,0.496465
F9:83:35:56:D1:CD,2.02E+13,-104,1,0,0.969238,0.075684,0.209717,0.020734,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,2,0,0.970703,0.075928,0.215088,0.021413,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,3,0,0.971924,0.077148,0.21582,0.021927,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,4,0,0.965088,0.071777,0.216064,0.021407,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,5,0,0.966064,0.077148,0.215576,0.021111,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,6,0,0.966064,0.07959,0.222412,0.02129,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,7,0,0.963867,0.073242,0.219971,0.019955,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,8,0,0.962891,0.07666,0.22168,0.01849,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,9,0,0.966064,0.077148,0.221924,0.016919,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,10,0,0.96582,0.074707,0.222168,0.014769,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,11,0,0.967041,0.075684,0.224121,0.015329,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,12,0,0.966553,0.07373,0.224121,0.014119,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,13,0,0.966797,0.075195,0.218994,0.013457,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,14,0,0.967529,0.076416,0.218506,0.01243,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,15,0,0.966797,0.074219,0.217529,0.010845,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,16,0,0.970703,0.07373,0.213867,0.009879,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,17,0,0.965576,0.073975,0.219727,0.009067,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,18,0,0.966309,0.07251,0.220459,0.006867,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,19,0,0.966553,0.07251,0.219482,0.005615,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,20,0,0.968018,0.076172,0.222412,0.004811,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,21,0,0.964844,0.072754,0.218018,0.003284,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,22,0,0.963623,0.070557,0.216797,0.002132,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,23,0,0.9646,0.071045,0.220947,0.000138,0,0.060594
F9:83:35:56:D1:CD,2.02E+13,-104,24,0,0.969238,0.068359,0.215576,-0.001356,0,0.060594
