EXPERIMENT2_1.CSV,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step1_benchmarks,step15_usage,,,,,,,,,,
0.33,0.1,60,200,"[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,,,,,,,,,,
subject,avg diff,setting.step1_usage,setting.step1_benchmarks,setting.step15_usage,setting.step2_usage,setting.step3_usage,,,good ones,,,,,,
"['filip2', 'hayden2', 'roy1']",17.40940257,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,,"[1, 0, 0, 1, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.4686083,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,,"[1, 0, 0, 1, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.39751037,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,,"[1, 0, 0, 1, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.89362023,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,,"[1, 0, 0, 1, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.75772199,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,,"[1, 0, 0, 1, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.80951663,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,,"[1, 0, 0, 1, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.93951366,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,,"[1, 0, 0, 1, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.1992744,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,,"[1, 0, 0, 1, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.80227416,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,,"[1, 0, 0, 1, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.77896794,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,,"[1, 0, 0, 1, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.778123,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.11438147,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.33667512,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,,"[1, 0, 0, 1, 1]",,,,,,
