Phase2.CSV,,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step15_usage,step2_usage,step3_usage,,,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.15149317,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[11.782407135894179, 36.793948314021456, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.15149317,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[11.782407135894179, 36.793948314021456, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.87219236,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[19.914370655651084, 3.976539589442808, 11.725666820062125]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.66309192,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[19.287069354116266, 3.976539589442808, 11.725666820062125]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.84628888,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[19.70836905572655, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.17761363,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[20.70234333116103, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.81037721,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[22.60063404758374, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.81037721,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[22.60063404758374, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.81037721,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[22.60063404758374, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.84352528,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[22.700078275311743, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.55301847,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[19.379137687571188, 3.976539589442808, 14.303378134416732]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.55301847,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[19.379137687571188, 3.976539589442808, 14.303378134416732]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.55301847,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[19.379137687571188, 3.976539589442808, 14.303378134416732]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.55301847,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[19.379137687571188, 3.976539589442808, 14.303378134416732]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.18196628,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[19.556397367761228, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.18196628,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[19.556397367761228, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.82259634,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[21.47828755689814, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.66730901,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[24.01242555334626, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.82259634,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[21.47828755689814, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.82259634,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[21.47828755689814, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.82259634,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[21.47828755689814, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.66730901,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[24.01242555334626, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.73006636,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[23.547044737110273, 3.976539589442808, 16.666614752356892]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.73006636,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[23.547044737110273, 3.976539589442808, 16.666614752356892]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.73006636,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[23.547044737110273, 3.976539589442808, 16.666614752356892]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.73006636,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[23.547044737110273, 3.976539589442808, 16.666614752356892]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.825071745,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[15.41876601259794, 3.976539589442808, 7.0799096325115345]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.877412007,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[15.855645579007676, 3.976539589442808, 6.800050853556914]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.479569944,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[14.533828227440544, 3.976539589442808, 6.928342015282726]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.333062705,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[14.09430651064531, 3.976539589442808, 6.928342015282726]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.748717827,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[15.259890127684388, 3.976539589442808, 7.0097237638169085]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.905456284,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[15.811487246188221, 3.976539589442808, 6.928342015282726]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.793974356,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[15.477041464029684, 3.976539589442808, 6.928342015282726]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.669606187,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[15.103936955176652, 3.976539589442808, 6.928342015282726]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.772537707,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[15.168615724598244, 3.976539589442808, 10.172457806861631]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.772537707,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[15.168615724598244, 3.976539589442808, 10.172457806861631]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.772537707,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[15.168615724598244, 3.976539589442808, 10.172457806861631]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.787051089,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[15.212155870528559, 3.976539589442808, 10.172457806861631]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.26670864,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[15.888273414113428, 3.976539589442808, 7.935312915851383]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.646978114,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[17.180649454678406, 3.976539589442808, 7.783745298622575]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.41617644,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[16.488244430653353, 3.976539589442808, 7.783745298622575]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.420972895,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[16.502633796396513, 3.976539589442808, 7.783745298622575]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.120649664,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[15.52028235506772, 3.976539589442808, 7.865127047156757]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.61164909,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[17.07466238283966, 3.976539589442808, 7.783745298622575]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.447360186,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[16.581795668902654, 3.976539589442808, 7.783745298622575]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.453755631,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[16.600982005880123, 3.976539589442808, 7.783745298622575]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.04544419,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[17.7302782955363, 3.976539589442808, 11.429514692028748]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.04544419,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[17.7302782955363, 3.976539589442808, 11.429514692028748]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.04544419,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[17.7302782955363, 3.976539589442808, 11.429514692028748]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.93912915,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[17.411333162690656, 3.976539589442808, 11.429514692028748]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.27097091,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[16.57412357502679, 3.976539589442808, 10.26224957947831]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.85244909,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[18.47012570605655, 3.976539589442808, 10.110681962249503]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.68426624,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[18.483445086231793, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.27354903,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[17.251293436518083, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.84567937,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[17.259340373152718, 3.976539589442808, 11.301158152725694]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.308388,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[18.647466250252958, 3.976539589442808, 11.301158152725694]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.68426624,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[18.483445086231793, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.27354903,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[17.251293436518083, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.54274537,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[18.058882450879118, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.54274537,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[18.058882450879118, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.54274537,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[18.058882450879118, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.46834222,"[1, 2, 1, 1, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[17.835673020387386, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.42480082,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[9.308991462048212, 39.272900638872215, 6.692510355771565]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.03872943,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[10.634401714411721, 36.789276221887796, 6.692510355771565]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",17.92945729,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[10.0247168741915, 36.789276221887796, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.60057494,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[10.38702145474398, 23.440324589241953, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",17.66241946,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[9.21893128047184, 36.793948314021456, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.46744975,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[9.987645880447818, 23.440324589241953, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.18008974,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[9.125565853727432, 23.440324589241953, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.4988196,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[10.08175542459337, 23.440324589241953, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.59111672,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[10.841229878356788, 36.793948314021456, 8.138171965346691]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.13990881,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[10.841229878356788, 23.440324589241953, 8.138171965346691]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.9422372,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[10.248215054778983, 23.440324589241953, 8.138171965346691]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.21068351,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[11.053553965072044, 23.440324589241953, 8.138171965346691]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.22345334,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[8.811427065761448, 39.272900638872215, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.40706011,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[10.194823410926958, 23.440324589241953, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.12190676,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[9.33936337289634, 23.440324589241953, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.39833063,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[10.168634976158367, 23.440324589241953, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",17.36189694,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[8.705710179277483, 36.793948314021456, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.17961095,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[9.51247594982822, 23.440324589241953, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.96087919,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[8.856280653650188, 23.440324589241953, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.3833323,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[10.123639980388967, 23.440324589241953, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.57633779,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[11.036409679108113, 36.793948314021456, 7.898655373834461]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.12512988,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[11.036409679108113, 23.440324589241953, 7.898655373834461]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.92917038,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[10.4485311660764, 23.440324589241953, 7.898655373834461]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.21266901,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[11.299027058591957, 23.440324589241953, 7.898655373834461]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",17.69179325,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.03, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[10.4019512940766, 36.793948314021456, 5.879480137707731]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.58413103,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.03, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[11.433944420579937, 23.440324589241953, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.31904513,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.03, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[10.638686719095896, 23.440324589241953, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.61198644,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.03, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[11.517510648914293, 23.440324589241953, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",17.71431529,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.03, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[10.47087347941883, 36.793948314021456, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.56996873,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.03, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[11.39145751816937, 23.440324589241953, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.31904513,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.03, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[10.638686719095896, 23.440324589241953, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.61198644,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.03, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[11.517510648914293, 23.440324589241953, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.15149317,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.03, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[11.782407135894179, 36.793948314021456, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.74168439,"[1, 2, 1, 1, 2]","[[0, 0], [1.02, 0], [1.03, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[11.906604511674447, 23.440324589241953, 5.878124068518368]",,,,,,,,,
