"[1447759191742L, 191]","[1447759191770L, 194]","[1447759191791L, 199]"
"[1447759210073L, 205]","[1447759210121L, 206]"
"[1447759210803L, 195]","[1447759210853L, 198]","[1447759210854L, 201]"
"[1447759211635L, 191]","[1447759211656L, 193]","[1447759211682L, 195]","[1447759211688L, 197]"
"[1447759211731L, 205]","[1447759211732L, 206]","[1447759211778L, 202]","[1447759211779L, 193]"
"[1447759212367L, 195]","[1447759212413L, 196]","[1447759212427L, 200]"
"[1447759213142L, 198]","[1447759213143L, 199]"
"[1447759213196L, 200]","[1447759213197L, 196]","[1447759213241L, 192]"
"[1447759213780L, 192]","[1447759213782L, 194]"
"[1447759213834L, 198]","[1447759213841L, 200]","[1447759213879L, 201]"
"[1447759214464L, 193]","[1447759214465L, 194]","[1447759214508L, 199]"
"[1447759214510L, 201]","[1447759214559L, 203]","[1447759214564L, 200]"
"[1447759215142L, 191]","[1447759215189L, 198]"
"[1447759215240L, 200]","[1447759215244L, 202]"
"[1447759216360L, 192]","[1447759216408L, 199]"
"[1447759216459L, 202]","[1447759216461L, 205]"
"[1447759217434L, 191]","[1447759217439L, 192]","[1447759217482L, 197]"
"[1447759217529L, 202]","[1447759217530L, 202]","[1447759217577L, 197]","[1447759217578L, 191]"
"[1447759218363L, 193]","[1447759218391L, 195]","[1447759218409L, 201]"
"[1447759218992L, 218]","[1447759219041L, 215]"
"[1447759219201L, 199]","[1447759219240L, 202]","[1447759219249L, 205]"
"[1447759219967L, 199]"
"[1447759220019L, 198]","[1447759220021L, 200]","[1447759220065L, 202]"
"[1447759220751L, 201]","[1447759220797L, 203]","[1447759220800L, 206]"
"[1447759221386L, 191]","[1447759221393L, 193]"
"[1447759221444L, 200]","[1447759221451L, 202]","[1447759221481L, 202]","[1447759221492L, 202]"
"[1447759222162L, 195]","[1447759222163L, 197]","[1447759222210L, 202]"
"[1447759222795L, 191]","[1447759222843L, 194]","[1447759222845L, 195]","[1447759222891L, 198]"
"[1447759223576L, 201]","[1447759223622L, 202]","[1447759223623L, 204]"
"[1447759224258L, 193]","[1447759224259L, 195]","[1447759224308L, 199]"
"[1447759224316L, 201]","[1447759224367L, 204]","[1447759224369L, 204]","[1447759224404L, 192]"
"[1447759224939L, 191]","[1447759224940L, 193]","[1447759224991L, 198]"
"[1447759225036L, 201]","[1447759225037L, 203]","[1447759225086L, 203]"
"[1447759225670L, 191]","[1447759225671L, 194]","[1447759225719L, 195]","[1447759225720L, 197]"
"[1447759225767L, 202]","[1447759225768L, 204]","[1447759225817L, 204]"
"[1447759226402L, 194]","[1447759226450L, 195]","[1447759226451L, 197]"
"[1447759226501L, 199]","[1447759226503L, 201]"
"[1447759226551L, 203]","[1447759226560L, 201]","[1447759226601L, 195]"
"[1447759227147L, 191]","[1447759227197L, 196]","[1447759227200L, 197]","[1447759227233L, 199]"
"[1447759227282L, 205]","[1447759227330L, 202]","[1447759227331L, 195]"
"[1447759227912L, 193]","[1447759227913L, 195]","[1447759227962L, 200]"
"[1447759227969L, 200]","[1447759228012L, 203]","[1447759228023L, 205]"
"[1447759228062L, 205]","[1447759228070L, 204]","[1447759228114L, 191]"
"[1447759228548L, 206]","[1447759228551L, 208]"
"[1447759228648L, 191]","[1447759228650L, 194]","[1447759228695L, 197]","[1447759228696L, 197]"
"[1447759228741L, 202]","[1447759228742L, 203]","[1447759228790L, 205]","[1447759228791L, 205]"
"[1447759229375L, 192]","[1447759229376L, 195]","[1447759229425L, 199]"
"[1447759229431L, 201]","[1447759229474L, 203]","[1447759229493L, 204]","[1447759229523L, 204]"
"[1447759230106L, 191]","[1447759230107L, 193]","[1447759230158L, 197]"
"[1447759230205L, 201]","[1447759230206L, 203]","[1447759230255L, 204]","[1447759230256L, 206]"
"[1447759230938L, 199]"
"[1447759230990L, 204]","[1447759231008L, 206]","[1447759231034L, 205]"
"[1447759231667L, 195]","[1447759231715L, 195]","[1447759231716L, 198]"
"[1447759231764L, 202]","[1447759231765L, 204]","[1447759231813L, 204]"
"[1447759232500L, 192]","[1447759232509L, 194]","[1447759232546L, 198]"
"[1447759232565L, 200]","[1447759232596L, 202]","[1447759232603L, 204]","[1447759232643L, 202]"
"[1447759233421L, 196]","[1447759233422L, 198]","[1447759233470L, 200]","[1447759233471L, 203]"
"[1447759233519L, 206]","[1447759233520L, 205]","[1447759233569L, 192]"
"[1447759234399L, 191]","[1447759234400L, 193]","[1447759234444L, 196]","[1447759234446L, 198]"
"[1447759234496L, 202]","[1447759234542L, 203]","[1447759234544L, 200]"
"[1447759235468L, 192]","[1447759235470L, 194]","[1447759235518L, 196]","[1447759235519L, 198]"
"[1447759235567L, 203]","[1447759235569L, 206]"
"[1447759236541L, 194]"
"[1447759236593L, 198]","[1447759236638L, 201]","[1447759236640L, 204]"
"[1447759237662L, 193]","[1447759237663L, 196]","[1447759237714L, 197]","[1447759237715L, 200]"
"[1447759237760L, 206]","[1447759237809L, 202]","[1447759237810L, 193]"
"[1447759238788L, 193]","[1447759238794L, 194]","[1447759238834L, 196]","[1447759238842L, 198]"
"[1447759238880L, 204]","[1447759238882L, 206]","[1447759238930L, 205]","[1447759238931L, 197]"
"[1447759239713L, 223]"
"[1447759239810L, 191]","[1447759239818L, 193]","[1447759239869L, 195]","[1447759239871L, 196]"
"[1447759239907L, 200]","[1447759239912L, 203]","[1447759239958L, 207]","[1447759239959L, 207]"
"[1447759240928L, 195]","[1447759240932L, 197]","[1447759240977L, 202]"
"[1447759241025L, 209]","[1447759241026L, 209]","[1447759241074L, 203]","[1447759241076L, 193]"
"[1447759242098L, 195]","[1447759242099L, 197]","[1447759242147L, 201]","[1447759242148L, 203]"
"[1447759242196L, 209]","[1447759242244L, 205]","[1447759242246L, 196]"
"[1447759242927L, 191]","[1447759242928L, 191]","[1447759242975L, 191]","[1447759242976L, 191]"
"[1447759243024L, 193]","[1447759243025L, 195]","[1447759243073L, 193]","[1447759243074L, 192]"
"[1447759243219L, 192]","[1447759243220L, 195]","[1447759243268L, 198]","[1447759243269L, 199]"
"[1447759243317L, 201]","[1447759243318L, 203]","[1447759243365L, 210]","[1447759243366L, 213]"
"[1447759244108L, 191]","[1447759244148L, 195]","[1447759244157L, 197]"
"[1447759244199L, 199]","[1447759244201L, 200]","[1447759244251L, 208]","[1447759244253L, 210]"
"[1447759244832L, 211]"
"[1447759244932L, 192]","[1447759244979L, 194]","[1447759244988L, 196]"
"[1447759245031L, 200]","[1447759245033L, 204]","[1447759245074L, 207]","[1447759245079L, 211]"
"[1447759245904L, 192]","[1447759245906L, 193]","[1447759245954L, 195]"
"[1447759246002L, 197]","[1447759246026L, 199]","[1447759246049L, 207]","[1447759246052L, 210]"
"[1447759246831L, 196]","[1447759246833L, 198]","[1447759246877L, 200]","[1447759246881L, 203]"
"[1447759246929L, 206]","[1447759246938L, 202]","[1447759246978L, 192]"
"[1447759247669L, 192]","[1447759247708L, 194]","[1447759247759L, 196]"
"[1447759247805L, 207]","[1447759247811L, 208]","[1447759247855L, 205]"
"[1447759248634L, 192]","[1447759248636L, 194]","[1447759248680L, 197]","[1447759248681L, 197]"
"[1447759248731L, 198]","[1447759248732L, 200]","[1447759248777L, 204]","[1447759248778L, 202]"
"[1447759249465L, 191]","[1447759249512L, 195]","[1447759249514L, 196]"
"[1447759249561L, 199]","[1447759249569L, 201]","[1447759249607L, 205]","[1447759249611L, 206]"
"[1447759250339L, 192]","[1447759250348L, 194]","[1447759250388L, 200]"
"[1447759250398L, 202]","[1447759250438L, 200]","[1447759250440L, 192]"
"[1447759250974L, 193]","[1447759251019L, 196]","[1447759251021L, 198]"
"[1447759251070L, 204]","[1447759251078L, 205]"
"[1447759251702L, 192]","[1447759251703L, 194]","[1447759251751L, 199]"
"[1447759252484L, 194]","[1447759252492L, 198]","[1447759252534L, 201]","[1447759252537L, 203]"
"[1447759253426L, 191]","[1447759253459L, 193]","[1447759253462L, 196]"
"[1447759253516L, 202]","[1447759253518L, 205]","[1447759253559L, 205]"
"[1447759254533L, 193]","[1447759254541L, 193]","[1447759254582L, 196]","[1447759254591L, 198]"
"[1447759254656L, 205]","[1447759254678L, 202]","[1447759254686L, 195]"
"[1447759255508L, 192]","[1447759255511L, 193]","[1447759255555L, 195]","[1447759255559L, 196]"
"[1447759255606L, 201]","[1447759255614L, 204]","[1447759255653L, 204]","[1447759255658L, 202]"
"[1447759256531L, 192]","[1447759256534L, 194]","[1447759256581L, 194]","[1447759256589L, 196]"
"[1447759256630L, 201]","[1447759256656L, 204]","[1447759256677L, 207]","[1447759256680L, 205]"
"[1447759257505L, 191]","[1447759257506L, 192]","[1447759257555L, 193]","[1447759257556L, 196]"
"[1447759257601L, 201]","[1447759257602L, 203]","[1447759257651L, 206]"
"[1447759258389L, 195]","[1447759258429L, 196]","[1447759258430L, 196]","[1447759258481L, 196]"
"[1447759258576L, 208]","[1447759258577L, 209]"
"[1447759258628L, 193]"
"[1447759259063L, 191]","[1447759259064L, 192]","[1447759259112L, 193]","[1447759259113L, 193]"
"[1447759259160L, 194]","[1447759259161L, 193]","[1447759259209L, 193]","[1447759259210L, 195]"
"[1447759259258L, 196]","[1447759259259L, 193]","[1447759259309L, 192]"
"[1447759259411L, 195]","[1447759259457L, 197]","[1447759259467L, 196]","[1447759259506L, 201]"
"[1447759259551L, 206]","[1447759259552L, 210]","[1447759259604L, 210]","[1447759259605L, 207]"
"[1447759260287L, 199]","[1447759260294L, 230]"
"[1447759260431L, 192]","[1447759260437L, 195]","[1447759260484L, 197]"
"[1447759260487L, 198]","[1447759260528L, 204]","[1447759260531L, 205]","[1447759260579L, 203]"
"[1447759261454L, 193]","[1447759261459L, 194]","[1447759261507L, 199]"
"[1447759261514L, 200]","[1447759261552L, 204]","[1447759261557L, 207]","[1447759261600L, 209]"
"[1447759262528L, 191]","[1447759262538L, 195]"
"[1447759262604L, 197]","[1447759262606L, 199]","[1447759262625L, 204]","[1447759262627L, 203]"
"[1447759263404L, 193]","[1447759263409L, 194]","[1447759263456L, 197]","[1447759263459L, 200]"
"[1447759263502L, 201]","[1447759263510L, 204]","[1447759263552L, 209]"
"[1447759264182L, 192]","[1447759264231L, 192]","[1447759264232L, 195]"
"[1447759264279L, 197]","[1447759264280L, 200]","[1447759264330L, 204]"
"[1447759264967L, 193]","[1447759264969L, 194]","[1447759265013L, 197]"
"[1447759265020L, 198]","[1447759265064L, 200]","[1447759265071L, 205]"
"[1447759266132L, 194]","[1447759266134L, 197]","[1447759266180L, 204]","[1447759266181L, 206]"
"[1447759267253L, 193]","[1447759267254L, 195]","[1447759267301L, 199]","[1447759267302L, 203]"
"[1447759267350L, 206]","[1447759267351L, 208]","[1447759267399L, 205]","[1447759267400L, 197]"
"[1447759268374L, 192]","[1447759268375L, 194]","[1447759268423L, 197]","[1447759268424L, 200]"
"[1447759268473L, 204]","[1447759268474L, 207]","[1447759268520L, 203]","[1447759268522L, 194]"
"[1447759269448L, 193]","[1447759269449L, 195]"
"[1447759269510L, 199]","[1447759269544L, 204]","[1447759269546L, 208]"
