EXPERIMENT2_1.CSV
min_spacing,iter_window_len,crazy_var,window_length,step1_benchmarks,step15_usage
0.33,0.1,60,200,"[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1
subject,avg diff,setting.step1_usage,setting.step1_benchmarks,setting.step15_usage,setting.step2_usage,setting.step3_usage
"['filip2', 'hayden2', 'roy1']",51.9099793138,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2
"['filip2', 'hayden2', 'roy1']",47.5481876708,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1
"['filip2', 'hayden2', 'roy1']",52.9792747464,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2
"['filip2', 'hayden2', 'roy1']",16.8854664918,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1
"['filip2', 'hayden2', 'roy1']",15.9985445872,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2
"['filip2', 'hayden2', 'roy1']",17.4094025749,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1
"['filip2', 'hayden2', 'roy1']",16.4686083034,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2
"['filip2', 'hayden2', 'roy1']",17.3975103735,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1
"['filip2', 'hayden2', 'roy1']",16.8936202293,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2
"['filip2', 'hayden2', 'roy1']",16.7577219925,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1
"['filip2', 'hayden2', 'roy1']",15.8095166341,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2
"['filip2', 'hayden2', 'roy1']",16.9395136625,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1
"['filip2', 'hayden2', 'roy1']",16.1992743995,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2
"['filip2', 'hayden2', 'roy1']",16.8022741563,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1
"['filip2', 'hayden2', 'roy1']",15.7789679383,"[1, 0, 0, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2
"['filip2', 'hayden2', 'roy1']",15.7781229957,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1
"['filip2', 'hayden2', 'roy1']",15.1143814746,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2
"['filip2', 'hayden2', 'roy1']",16.3366751155,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1
"['filip2', 'hayden2', 'roy1']",16.0122834639,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2
"['filip2', 'hayden2', 'roy1']",16.177319249,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1
"['filip2', 'hayden2', 'roy1']",15.7445204522,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2
"['filip2', 'hayden2', 'roy1']",15.9493693146,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1
"['filip2', 'hayden2', 'roy1']",15.2103807338,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2
"['filip2', 'hayden2', 'roy1']",16.2456970272,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1
"['filip2', 'hayden2', 'roy1']",15.3569337253,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2
"['filip2', 'hayden2', 'roy1']",16.2194213776,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1
"['filip2', 'hayden2', 'roy1']",15.5801830056,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2
"['filip2', 'hayden2', 'roy1']",21.4435775589,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1
"['filip2', 'hayden2', 'roy1']",20.3743369303,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2
"['filip2', 'hayden2', 'roy1']",21.1377263016,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1
"['filip2', 'hayden2', 'roy1']",19.92893505,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2
"['filip2', 'hayden2', 'roy1']",21.1413291438,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1
"['filip2', 'hayden2', 'roy1']",19.9317238146,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2
"['filip2', 'hayden2', 'roy1']",17.8259751511,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1
"['filip2', 'hayden2', 'roy1']",17.1321093117,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2
"['filip2', 'hayden2', 'roy1']",18.7678425736,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1
"['filip2', 'hayden2', 'roy1']",18.3009096683,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2
"['filip2', 'hayden2', 'roy1']",20.4506534474,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1
"['filip2', 'hayden2', 'roy1']",18.642822623,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2
"['filip2', 'hayden2', 'roy1']",43.5236955538,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1
"['filip2', 'hayden2', 'roy1']",44.5082625848,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2
"['filip2', 'hayden2', 'roy1']",45.4565745495,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1
"['filip2', 'hayden2', 'roy1']",47.1451766287,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2
"['filip2', 'hayden2', 'roy1']",43.2965347639,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1
"['filip2', 'hayden2', 'roy1']",44.7971531719,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2
"['filip2', 'hayden2', 'roy1']",45.2043901807,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1
"['filip2', 'hayden2', 'roy1']",45.4847974775,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2
"['filip2', 'hayden2', 'roy1']",45.4643453222,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1
"['filip2', 'hayden2', 'roy1']",46.1028790719,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2
"['filip2', 'hayden2', 'roy1']",44.6692650129,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1
"['filip2', 'hayden2', 'roy1']",46.3974243202,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2
"['filip2', 'hayden2', 'roy1']",16.0530001131,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1
